img,ratio
100638.jpg,0.4484304932735426
100639.jpg,0.3125
10064.jpg,0.12254901960784313
100640.jpg,0.5
100641.jpg,0.15212981744421908
100642.jpg,0.16769144773616546
100643.jpg,0.46875
100644.jpg,0.10040160642570281
100645.jpg,0.25906735751295334
100646.jpg,0.4166666666666667
100647.jpg,0.11574074074074074
100648.jpg,0.1953125
100649.jpg,0.16722408026755853
10065.jpg,0.21067415730337077
100650.jpg,0.46875
100651.jpg,0.15060240963855423
100652.jpg,0.14591439688715954
100653.jpg,0.08680555555555555
100654.jpg,0.4975124378109453
100655.jpg,0.12028869286287089
100656.jpg,0.12254901960784313
100657.jpg,0.24509803921568626
100658.jpg,0.2757352941176471
100659.jpg,0.2604166666666667
10066.jpg,0.13544018058690746
100660.jpg,0.27522935779816515
100661.jpg,0.3
100662.jpg,0.30864197530864196
100663.jpg,0.2808988764044944
100664.jpg,0.13192612137203166
100665.jpg,0.17172295363480253
100666.jpg,0.15673981191222572
100667.jpg,0.075
100668.jpg,0.234375
100669.jpg,0.11574074074074074
10067.jpg,0.15432098765432098
100670.jpg,0.1803968731208659
100671.jpg,0.2827521206409048
100672.jpg,0.09615384615384616
100673.jpg,0.146484375
100674.jpg,0.6928406466512702
100675.jpg,0.15432098765432098
10068.jpg,0.09375
10069.jpg,0.29296875
1007.jpg,0.1681614349775785
10070.jpg,0.1953125
10071.jpg,0.1865671641791045
10072.jpg,0.12335526315789473
10073.jpg,0.12254901960784313
10074.jpg,0.5660377358490566
10075.jpg,0.2152080344332855
10076.jpg,0.15
10077.jpg,0.25
10078.jpg,0.08680555555555555
10079.jpg,0.15495867768595042
1008.jpg,0.08769365682548963
10080.jpg,0.10040160642570281
10081.jpg,0.06510416666666667
10082.jpg,0.4166666666666667
10083.jpg,0.4918032786885246
10084.jpg,0.06510416666666667
10085.jpg,0.5
10086.jpg,0.2117148906139732
10087.jpg,0.12254901960784313
10088.jpg,0.12254901960784313
10089.jpg,0.4172461752433936
1009.jpg,0.6
10090.jpg,0.08680555555555555
10091.jpg,0.234375
10092.jpg,0.14285714285714285
10093.jpg,0.4918032786885246
10094.jpg,0.49019607843137253
10095.jpg,0.5
10096.jpg,0.5555555555555556
10097.jpg,0.25
10098.jpg,0.4166666666666667
10099.jpg,0.5226480836236934
101.jpg,0.625
1010.jpg,0.6493506493506493
10100.jpg,0.3516998827667057
10101.jpg,0.21978021978021978
10102.jpg,0.12254901960784313
10103.jpg,0.46875
10104.jpg,0.14285714285714285
10105.jpg,0.46875
10106.jpg,0.6
10107.jpg,0.15625
10108.jpg,0.32858707557502737
10109.jpg,0.3125
1011.jpg,0.1953125
10110.jpg,0.08680555555555555
10111.jpg,0.20161290322580644
10112.jpg,0.46875
10113.jpg,0.13392857142857142
10114.jpg,0.25
10115.jpg,0.13489208633093525
10116.jpg,0.6493506493506493
10117.jpg,0.14756517461878996
10118.jpg,0.21978021978021978
10119.jpg,0.4893964110929853
1012.jpg,0.3125
10120.jpg,0.1953125
10121.jpg,0.10964912280701754
10122.jpg,0.4166666666666667
10123.jpg,0.12254901960784313
10124.jpg,0.11131725417439703
10125.jpg,0.18382352941176472
10126.jpg,0.15495867768595042
10127.jpg,0.25041736227045075
10128.jpg,0.12254901960784313
10129.jpg,0.23809523809523808
1013.jpg,0.25
10130.jpg,0.17045454545454544
10131.jpg,0.09191176470588236
10132.jpg,0.3963011889035667
10133.jpg,0.1953125
